PSU	LC	Mate	NEM 	OC	OH	Buenas	Malas	Omitidas	Nota	Calculo	 R1 	R2 	R3 	R4 
731.5	743	756	702	672	0	19	9	12	629	629	61.5	15.4	62.5	66.7
708.2	743	718	682	660	0	26	6	8	702	702	69.2	53.8	62.5	83.3
661.2	603	737	579	642	0	27	9	4	705	705	61.5	46.2	87.5	100
662.45	732	660	599	693	0	21	12	7	641	641	76.9	38.5	37.5	50
661.35	651	664	641	721	0	22	8	10	660	660	53.8	46.2	62.5	66.7
658.05	597	688	661	638	0	21	8	11	650	650	46.2	46.2	62.5	66.7
686.6	608	718	702	664	608	28	5	7	724	724	53.8	69.2	75	100
700.15	721	645	744	797	0	25	8	7	688	688	76.9	53.8	50	66.7
672.25	651	664	723	625	0	27	6	7	712	712	69.2	61.5	50	100
718.9	710	694	744	786	0	30	6	4	740	740	76.9	76.9	62.5	83.3
686.95	633	673	744	715	0	30	6	4	740	740	69.2	69.2	87.5	83.3
673.15	691	645	744	564	587	17	5	18	619	619	38.5	46.2	25	66.7
657.5	651	640	702	638	0	14	17	9	562	562	38.5	38.5	12.5	50
664.95	626	701	620	693	0	24	16	0	660	660	61.5	76.9	37.5	50
661.7	659	656	682	642	608	20	6	14	645	645	61.5	38.5	37.5	66.7
708.05	721	774	579	708	0	34	6	0	778	778	84.6	92.3	87.5	66.7
677.1	659	688	682	652	0	14	10	16	579	579	46.2	15.4	12.5	83.3
669.4	645	706	620	677	0	26	8	6	698	698	69.2	61.5	50	83.3
697.65	700	694	723	646	591	28	2	10	731	731	76.9	53.8	62.5	100
703.75	700	673	764	699	0	15	9	16	591	591	46.2	23.1	62.5	16.7
692.45	674	718	661	693	645	31	6	3	750	750	84.6	69.2	62.5	100
679.7	532	718	744	642	0	33	3	4	776	776	84.6	69.2	87.5	100
736.6	691	812	682	625	0	27	4	9	717	717	84.6	46.2	62.5	83.3
668.55	721	682	579	727	689	29	6	5	731	731	76.9	61.5	62.5	100
666.25	603	756	599	557	0	31	3	6	757	757	100	53.8	62.5	100
663.35	639	706	641	576	0	24	8	8	679	679	69.2	38.5	50	100
662.15	710	682	599	635	604	24	4	12	688	688	84.6	38.5	62.5	50
661.05	608	812	455	603	587	35	5	0	790	790	100	84.6	75	83.3
666.9	667	664	702	592	0	18	7	15	624	624	46.2	46.2	37.5	50
656.4	645	688	620	628	0	23	6	11	674	674	76.9	38.5	50	66.7
681.2	645	737	599	708	0	26	8	6	698	698	69.2	61.5	50	83.3
703.35	651	774	641	646	0	30	5	5	743	743	84.6	69.2	62.5	83.3
667.35	682	706	599	635	0	20	5	15	648	648	69.2	46.2	25	50
701.55	667	737	682	660	0	30	4	6	745	745	84.6	76.9	75	50
658.45	639	682	641	635	0	28	6	6	721	721	84.6	53.8	62.5	83.3
